name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
H1743-322,58375.705,0.7391999999963446,2.42,0.13505924625881785,False,1.52e-09,1.7176728442867108e-10,1.7176728442867108e-10,False,HS,candidateBH,8.5,"(""gauss"", 8.5, 0.8)",2.6783349870609645e+29,1.494768200748242e+28,1.3142656186507831e+37,1.4851831337737662e+36,1.4851831337737662e+36
H1743-322,58382.685,0.130460000000312,1.69,0.09818477478713286,False,1.31e-09,1.4852945835759316e-10,1.4852945835759316e-10,False,HS,candidateBH,8.5,"(""gauss"", 8.5, 0.8)",1.8704074909640617e+29,1.0866599897069386e+28,1.1326894476529776e+37,1.2842576347118943e+36,1.2842576347118943e+36
H1743-322,58396.662,0.9691400000010617,0.32,0.08158431221748456,False,1.87e-10,2.0753072061745458e-11,2.0753072061745458e-11,False,HS,candidateBH,8.5,"(""gauss"", 8.5, 0.8)",3.541599982890532e+28,9.029343711049348e+27,1.6168925703137926e+36,1.794411124482512e+35,1.794411124482512e+35
H1743-322,58403.633,0.1643100000001141,0.2,0.1004987562112089,False,7.1e-11,8.149233092751735e-12,8.149233092751735e-12,False,HS,candidateBH,8.5,"(""gauss"", 8.5, 0.8)",2.2134999893065824e+28,1.1122699789941786e+28,6.1390038765924745e+35,7.046221626430786e+34,7.046221626430786e+34
H1743-322,58418.511,0.4923300000009476,0.11,0.03666666666666667,True,8.999999999999998e-12,5.080354318352215e-12,6.067124524847006e-12,False,HS,candidateBH,8.5,"(""gauss"", 8.5, 0.8)",1.2174249941186202e+28,4.0580833137287337e+27,7.781835899905951e+34,4.392720402088389e+34,5.24592971518381e+34
