name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
MAXI J1807+132,60141.74886,0.018871574073273223,0.135,0.020163395051429212,False,5.58e-10,5.591293860994967e-11,5.5912684643111176e-11,False,IMS,decay,NS,6.3,"(""uniform"", 4.2, 8.4)",8.206200090428119e+27,1.2256655873657503e+27,2.649918779200747e+36,2.6552821867886045e+35,2.6552701260091312e+35
MAXI J1807+132,60146.75236,0.9751724999950966,0.212,0.07066666666666667,True,2.354475715252392e-10,1.2649467570752201e-11,1.2651257639775476e-11,False,HS,decay,NS,6.3,"(""uniform"", 4.2, 8.4)",1.2886773475338974e+28,4.2955911584463253e+27,1.1181307191791082e+36,6.007179509431383e+34,6.008029605761281e+34
MAXI J1807+132,60153.81543,0.18640222222165903,0.135,0.045000000000000005,True,3.047e-11,3.3123420717069665e-12,3.3135197298341235e-12,False,SS,decay,NS,6.3,"(""uniform"", 4.2, 8.4)",8.206200090428119e+27,2.735400030142707e+27,1.447007620111949e+35,1.5730174657621859e+34,1.5735767307060267e+34
MAXI J1807+132,60160.8526,0.38441388888895744,0.111,0.037,True,1.737e-10,1.749255238665873e-11,1.7492907134035785e-11,False,QS,decay,NS,6.3,"(""uniform"", 4.2, 8.4)",6.747320074352009e+27,2.2491066914506695e+27,8.2489407158991e+35,8.307140334329715e+34,8.307308802382821e+34
MAXI J1807+132,60174.67028,0.772370462967956,0.114,0.038,True,7.953e-11,8.059518906237518e-12,8.059843236688913e-12,False,Unclear,unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",6.929680076361523e+27,2.3098933587871742e+27,3.776846604118914e+35,3.8274319894197604e+34,3.8275860126014487e+34
MAXI J1807+132,60195.62164,0.826207222235098,0.14,0.04666666666666667,True,1.981e-13,1.162010589452609e-13,2.5407346595030345e-13,False,Unclear,unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",8.510133427110643e+27,2.836711142370214e+27,9.407686562001219e+32,5.518339933011824e+32,1.2065843166995174e+33
MAXI J1807+132,60223.59141,0.6559395370422862,0.166,0.05533333333333334,True,4.5300000000000004e-13,1.7400025862049745e-13,2.658873633702813e-13,False,Unclear,unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",1.0090586777859763e+28,3.3635289259532547e+27,2.1512781487059828e+33,8.263199872835893e+32,1.2626880239195003e+33
