name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
GRS 1739-278,60132.91834,0.6974100000006729,0.182,0.025667294364618957,False,2.8379e-09,2.864488295385408e-10,2.865228708864268e-10,False,SS,,candidateBH,8,"(""uniform"", 6.0, 8.5)",1.7839332354134675e+28,2.5158648066035467e+27,2.1731731322029014e+37,2.193533599154747e+36,2.19410058413624e+36
GRS 1739-278,60146.73292,0.630989999997837,0.12,0.04,True,1.0691e-09,1.1146136898495369e-10,1.1511331125895042e-10,False,SS,,candidateBH,8,"(""uniform"", 6.0, 8.5)",1.1762197156572313e+28,3.9207323855241046e+27,8.18682615891371e+36,8.535355451448435e+35,8.815009520661786e+35
GRS 1739-278,60160.8327,0.34191000000282656,0.363,0.027007822940770327,False,4.5709e-11,6.75292377048638e-12,7.211061093902894e-12,False,HS,,candidateBH,8,"(""uniform"", 6.0, 8.5)",3.558064639863125e+28,2.6472611516594775e+27,3.500249152537525e+35,5.171173227328417e+34,5.522000149386319e+34
