name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
EXO 1846-031,58699.839,0.570930000001681,6.9,0.3652738698565776,False,1.21e-08,1.2141251994749142e-09,1.2141251994749142e-09,False,HS,candidateBH,4.5,"(""uniform"", 2.4, 7.5)",2.1403549204557933e+29,1.133066267625297e+28,2.9323250155700977e+37,2.9423220615325e+36,2.9423220615325e+36
EXO 1846-031,58705.803,0.5110399999975925,30.8,1.5472879499304582,False,3.36e-08,3.3659471178258285e-09,3.396998675301478e-09,False,IMS,candidateBH,4.5,"(""uniform"", 2.4, 7.5)",9.554048050730209e+29,4.799630981153063e+28,8.14265458869052e+37,8.157066888170866e+36,8.232317515243808e+36
EXO 1846-031,58711.904,0.6389400000043679,12.4,0.6378871373526825,False,2.2256006053304312e-08,1.9268678340943096e-09,2.9289369795504056e-09,False,IMS,candidateBH,4.5,"(""uniform"", 2.4, 7.5)",3.84643492951476e+29,1.978702714678659e+28,5.393540768329236e+37,4.669589050919104e+36,7.098012540631386e+36
EXO 1846-031,58718.695,0.12541999999666587,5.4,0.2879236009777594,False,1.66e-08,1.660752841334315e-09,1.6601204775557707e-09,False,SS,candidateBH,4.5,"(""uniform"", 2.4, 7.5)",1.675060372530621e+29,8.931285450262286e+27,4.022859112269721e+37,4.0246835548129996e+36,4.023151078675176e+36
EXO 1846-031,58726.779,0.4338900000002468,18.2,0.9207062506576134,False,2.502e-08,2.5023197237763203e-09,2.50249955044951e-09,False,SS,candidateBH,4.5,"(""uniform"", 2.4, 7.5)",5.64557384815876e+29,2.8559973244774322e+28,6.063369577649904e+37,6.064144399160133e+36,6.064580192757043e+36
