name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
MAXI J1631-479,58502.35038,0.4684300000008079,4.67,0.3074447104765343,False,6.4e-08,9.05096679918781e-09,9.05096679918781e-09,False,SS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",3.0224231774401962e+29,1.9897816246802313e+28,3.235999119314986e+38,4.576393842362645e+37,4.576393842362645e+37
MAXI J1631-479,58509.3506,0.6430600000021514,6.88,0.4373053852858435,False,5.62e-08,7.947880220536795e-09,7.947880220536795e-09,False,HS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",4.4527347881774204e+29,2.83023968331338e+28,2.841611726648472e+38,4.018645842824697e+37,4.018645842824697e+37
MAXI J1631-479,58515.17573,0.7199199999959092,3.36,0.22521989254948152,False,3.9999999999999994e-08,5.6568542494923804e-09,5.6568542494923804e-09,False,HS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",2.1745914081796708e+29,1.457622747884676e+28,2.0224994495718657e+38,2.860246151476653e+37,2.860246151476653e+37
MAXI J1631-479,58530.12843,0.4488100000016857,4.86,0.30846231536445423,False,2.64e-08,3.733523804664971e-09,3.733523804664971e-09,False,HS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",3.1453911439741666e+29,1.996367561722471e+28,1.3348496367174316e+38,1.8877624599745908e+37,1.8877624599745908e+37
MAXI J1631-479,58543.09068,0.09623999999894295,3.99,0.28248938033136756,False,1.44e-08,2.036467529817257e-09,2.036467529817257e-09,False,HS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",2.5823272972133587e+29,1.828270771936283e+28,7.280998018458718e+37,1.029688614531595e+37,1.029688614531595e+37
MAXI J1631-479,58560.08841,0.8265000000028522,15.61,0.926919764596699,False,9.52e-09,1.3463313113791867e-09,1.3463313113791867e-09,False,SS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",1.0102789250501386e+30,5.999023083821144e+28,4.813548689981041e+37,6.807385840514435e+36,6.807385840514435e+36
MAXI J1631-479,58567.08829,0.5179399999979069,37.36,1.9682032415378246,False,1.25e-08,1.8034688796871437e-09,1.8034688796871437e-09,False,SS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",2.417938541952157e+30,1.27382079124986e+29,6.320310779912082e+37,9.118787041218095e+36,9.118787041218095e+36
MAXI J1631-479,58574.07443,0.06736000000091735,22.29,1.2341030143387544,False,8.44e-09,1.1935962466428922e-09,1.1935962466428922e-09,False,SS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",1.4426084073906208e+30,7.987112535088358e+28,4.267473838596637e+37,6.035119379615737e+36,6.035119379615737e+36
MAXI J1631-479,58582.06773,0.03673999999591615,7.31,0.4544119826765135,False,7.05e-09,1.0005623418858018e-09,1.0005623418858018e-09,False,SS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",4.731030712438509e+29,2.9409535514947485e+28,3.564655279870414e+37,5.059091964315928e+36,5.059091964315928e+36
MAXI J1631-479,58588.06741,0.4771199999959208,3.48,0.2884024965217881,False,6.33e-09,8.951971849821691e-10,8.951971849821691e-10,False,SS,candidateBH,6.5,"(""uniform"", 4.5, 8.5)",2.25225538704323e+29,1.8665404495054994e+28,3.200605378947478e+37,4.526339534711803e+36,4.526339534711803e+36
