name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
Swift J1727.8-163,60191.66891,0.36396000000240747,91.58,4.579174707302616,False,2.272e-07,2.2757562457345914e-08,2.2757390360056664e-08,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.2436318012983237e+30,2.1218968564763403e+29,8.224990660957112e+38,8.238588850256089e+37,8.238526548381228e+37
Swift J1727.8-163,60193.64001,0.8289399999994203,95.57,4.778761581204905,False,2.3913850438158287e-07,1.3831703757289359e-08,1.3831627522829872e-08,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.4285203237615276e+30,2.2143813733155484e+29,8.657182945483147e+38,5.007290238945e+37,5.007262640894061e+37
Swift J1727.8-163,60195.63401,0.48109000000113156,86.64,4.332184668270733,False,2.121e-07,2.123283173201352e-08,2.123277613125519e-08,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.014722202058166e+30,2.0074466725672322e+29,7.678347355585404e+38,7.68661279495973e+37,7.686592666627071e+37
Swift J1727.8-163,60203.65151,0.7554999999993015,85.15,4.257687899552996,False,2.0090209279091087e-07,1.4244773765670481e-08,1.4244622235624344e-08,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.9456786184816807e+30,1.972926378089775e+29,7.272965831742876e+38,5.15682795731015e+37,5.156773101094731e+37
Swift J1727.8-163,60365.12108,0.3464499999972759,2.196233022,0.11155398141917605,False,6e-09,6.010611366574951e-10,6.010611366574951e-10,False,SS,BH,5.5,"('gauss',5.5,1.4)",1.0176899208583448e+29,5.169185664029896e+27,2.172092604125998e+37,2.175934082602185e+36,2.175934082602185e+36
Swift J1727.8-163,60407.93309,0.27651999999943655,0.8324338126,0.046926747174618255,False,1.31e-09,1.313758155065079e-10,1.313743053264222e-10,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.85732976591545e+28,2.174490463438483e+27,4.7424021856750963e+36,4.756007287045124e+35,4.755952616195207e+35
Swift J1727.8-163,60412.98246,0.8498299999992014,0.6590755078,0.03850920795507884,False,1.03e-09,1.0337099448104388e-10,1.0336845940614574e-10,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.0540224769129963e+28,1.784438736852839e+27,3.728758970416297e+36,3.742189543223746e+35,3.742097769599794e+35
Swift J1727.8-163,60441.91332,0.36643000000185566,0.1241061401,0.019854841989260234,False,8.4e-13,4.3125978249774233e-13,7.139586822779033e-13,False,HS,BH,5.5,"('gauss',5.5,1.4)",5.75082728614048e+27,9.20033182740533e+26,3.0409296457763975e+33,1.5612269733672212e+33,2.5846406223789623e+33
Swift J1727.8-163,60448.93642,0.4037099999986822,0.1215623415,0.019148509143841152,False,1.73e-12,5.766666666666667e-13,5.766666666666667e-13,True,HS,BH,5.5,"('gauss',5.5,1.4)",5.63295280879763e+27,8.873031486160302e+26,6.262867008563296e+33,2.087622336187765e+33,2.087622336187765e+33
Swift J1727.8-163,60455.92899,0.8127000000022235,0.09147021046,0.018001238007772834,False,1.47e-13,8.251987639350898e-14,2.1749733331698572e-13,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.238544376277643e+27,8.341409267582974e+26,5.3216268801086955e+32,2.98734688679554e+32,7.873739151915861e+32
Swift J1727.8-163,60463.89865,0.07558000000426546,0.1055353986,0.0351784662,True,8.46e-14,4.196166822231929e-14,7.497880767256839e-14,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.8902967204810494e+27,1.6300989068270165e+27,3.0626505718176574e+32,1.5190771533748107e+32,2.7143485601961907e+32
