name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
GX 339-4,58755.63859,0.7869399999981397,3.8,0.19946049734220558,False,8.8423e-10,9.461621684468261e-11,9.51577278679982e-11,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",5.8198371347623436e+29,3.054809498290352e+28,1.0579923087316833e+37,1.1320949266928666e+36,1.1385741741484077e+36
GX 339-4,58762.65596,0.739770000000135,3.97,0.20719703183202218,False,1.0332e-09,1.1298502170199375e-10,1.1380782398411807e-10,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",6.0801982697385544e+29,3.1732973159698373e+28,1.2362367861094683e+37,1.3518799855534385e+36,1.361724918275631e+36
GX 339-4,58873.20673,0.19829999999637948,61.6,3.082090564860157,False,1.1768e-08,1.1794082000940134e-09,1.1794605704850842e-09,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",9.434262302667379e+30,4.720332926861523e+29,1.4080559909926658e+38,1.411176735187162e+37,1.4112393970183126e+37
GX 339-4,58887.17309,0.1790000000037253,43.5,2.1767553284648233,False,8.2779e-09,8.304442652875628e-10,8.305653623069047e-10,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",6.66218198321479e+30,3.3337793404977326e+29,9.904611393472287e+37,9.936370011247922e+36,9.93781895230482e+36
GX 339-4,58894.13512,0.36103000000002794,27.2,1.3619470767985078,False,7.1643e-09,7.200846906781176e-10,7.202002938828893e-10,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",4.1657781596193615e+30,2.0858710981928888e+29,8.572174996829331e+37,8.615903830144665e+36,8.617287037019723e+36
GX 339-4,58900.26135,0.7674199999964912,18.7,0.937147032220665,False,6.7831e-09,6.796315765685111e-10,6.796567525780936e-10,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",2.8639724847383115e+30,1.4352744996974077e+29,8.116064405593433e+37,8.131877235342307e+36,8.13217846946129e+36
GX 339-4,58922.3326,0.13519000000087544,15.7,0.7878796164389583,False,5.0863e-09,5.096414794235257e-10,5.096727619718361e-10,False,IMS,decay,BH,10.0,"(""uniform"", 8, 12)",2.4045116583097052e+30,1.20666606565099e+29,6.08582187881203e+37,6.097924357245589e+36,6.098298656867971e+36
GX 339-4,58929.08,0.10568999999668449,18.0,0.9021124597299386,False,4.6764e-09,4.691199637150395e-10,4.691692574114378e-10,False,IMS,decay,BH,10.0,"(""uniform"", 8, 12)",2.756764958571637e+30,1.3816177875968679e+29,5.595371376850869e+37,5.613079328715359e+36,5.613669133988402e+36
GX 339-4,58937.32745,0.5226199999960954,15.7,0.7880178995428975,False,3.1969e-09,3.205810183479365e-10,3.206111443727432e-10,False,IMS,decay,BH,10.0,"(""uniform"", 8, 12)",2.4045116583097052e+30,1.2068778512150466e+29,3.825131031275028e+37,3.8357921777986214e+36,3.83615263947192e+36
GX 339-4,58957.10876,0.5670099999988452,9.86,0.49644693573432397,False,6.151499999999999e-10,6.242380150231161e-11,6.245292878640681e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",1.5100945828620186e+30,7.60326397901472e+28,7.36034706712388e+36,7.469086309132124e+35,7.472571425283687e+35
GX 339-4,58964.16597,0.7703899999978603,7.79,0.3941553120281395,False,2.5213836730513097e-10,2.1977164956813585e-11,2.2463697056284245e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",1.1930666126262805e+30,6.036630846855803e+28,3.0168672556347636e+36,2.6295954097956695e+35,2.6878095870109913e+35
GX 339-4,58970.98595,0.8218500000002678,5.68,0.29056145649414683,False,1.5401e-10,2.2541570508728978e-11,2.4238747698674536e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",8.69912498038161e+29,4.450053564303341e+28,1.8427490072466048e+36,2.6971272434737793e+35,2.900196627402989e+35
GX 339-4,58978.13848,0.08929000000352971,4.28,0.22182551701731704,False,1.0581e-10,1.721788169317004e-11,1.8959255918943656e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",6.554974457048114e+29,3.39733784572431e+28,1.2660299490731982e+36,2.060141185441113e+35,2.268498800257629e+35
GX 339-4,58986.13856,0.25200999999651685,5.78,0.29474295581065213,False,1.1209e-10,1.4187974647919274e-11,1.4611974796036297e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",8.852278589191143e+29,4.514094735359078e+28,1.3411709383953766e+36,1.6976089992398703e+35,1.7483411498804168e+35
GX 339-4,58992.01214,0.7640000000028522,3.78,0.20457734478675785,False,8.0663e-11,1.0893354172613685e-11,1.1415180924102781e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",5.7892064130004364e+29,3.1331758634764553e+28,9.651429333909025e+35,1.3034035184189033e+35,1.3658407451094592e+35
GX 339-4,59019.03753,0.9800199999954202,1.71,0.10215214143619311,False,2.9305e-11,6.1013426800991935e-12,7.171386361088071e-12,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",2.6189267106430545e+29,1.5644969108575046e+28,3.506380082940183e+35,7.300333203444015e+34,8.580653916938435e+34
GX 339-4,59026.98552,0.7967900000003283,1.54,0.08417244204607588,False,2.0794e-11,3.0064011791509127e-12,3.1600513619243595e-12,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",2.3585655756668448e+29,1.2891313261667993e+28,2.488028235613655e+35,3.59719679778285e+34,3.7810411726734594e+34
GX 339-4,59034.82418,0.13678000000072643,1.41,0.0772990297481152,False,2.4288e-11,4.227780705050819e-12,4.707711257075991e-12,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",2.159465884214449e+29,1.1838625363399475e+28,2.9060897271609337e+35,5.058592751826991e+34,5.632835689487986e+34
