name,class,D,D_prob,t,state,Lr,Lr_unc,Lr_uplim_bool,Lx,Lx_unc_l,Lx_unc_u,Lx_uplim_bool
1A 1744-361,NS,8.0,("uniform", 1, 9),59730.97968,IMS,1.2154270395124722e+29,6.356092498322186e+27,0,2.1441505233334946e+37,2.1532686968201212e+36,2.1533321638647477e+36,0
1A 1744-361,NS,8.0,("uniform", 1, 9),59759.97549,SS,8.527592938514926e+27,1.815119403011624e+27,0,2.28734914757041e+37,2.9385394582733745e+36,2.8209490591827796e+36,0
1A 1744-361,NS,8.0,("uniform", 1, 9),59797.93867,SS,7.939483080686311e+27,2.6464943602287703e+27,1,1.3768509431977226e+37,1.4310216414808912e+36,1.4334041277565695e+36,0
1A 1744-361,NS,8.0,("uniform", 1, 9),59804.66341,HS,9.115702796343542e+27,3.0385675987811806e+27,1,6.27546912097071e+36,6.3623043802361475e+35,6.360298488941084e+35,0
1A 1744-361,NS,8.0,("uniform", 1, 9),59811.75657,HS,4.998933791543233e+27,1.6663112638477442e+27,1,9.282265867753683e+35,8.199759479315441e+34,8.275402334119077e+34,0
1A 1744-361,NS,8.0,("uniform", 1, 9),60539.72062,HS,8.62561124815303e+27,2.8752037493843434e+27,1,8.17074502998871e+35,1.015969964307596e+35,9.310129778169798e+34,0
1A 1744-361,NS,8.0,("uniform", 1, 9),60546.63713,HS,5.587043649371849e+27,1.8623478831239493e+27,1,3.8005068026086186e+34,6.707203922977523e+33,7.481189081486223e+33,0
4U 1543-47,BH,5.0,("gauss", 5, 2.0),59392.013,SS,9.572100550595961e+27,1.3511249648844978e+27,0,4.700915637490025e+38,3.3280791341034435e+37,3.3275835473899066e+37,0
4U 1543-47,BH,5.0,("gauss", 5, 2.0),59421.6822,SS,2.5270345453573337e+27,8.423448484524447e+26,1,2.124707194090097e+38,2.1251187864149886e+37,2.1250837769376041e+37,0
4U 1543-47,BH,5.0,("gauss", 5, 2.0),59666.0582,HS,2.630796115325794e+29,1.31809237101975e+28,0,1.0939116160477945e+36,1.1488300456666736e+35,1.1516400882756917e+35,0
4U 1543-47,BH,5.0,("gauss", 5, 2.0),59673.0362,HS,1.5740362145399997e+29,7.907347900172973e+27,0,2.3690948862725e+35,3.0200316646419716e+34,2.964502846674218e+34,0
4U 1543-47,BH,5.0,("gauss", 5, 2.0),59679.039,HS,7.96398765809584e+28,4.070112983479708e+27,0,1.495640711030619e+35,1.6115305684835835e+34,1.6115305684835835e+34,0
4U 1543-47,BH,5.0,("gauss", 5, 2.0),59706.0027,HS,2.838319255262714e+29,1.4214355829183166e+28,0,3.33527878559828e+35,3.603338966735608e+34,3.617260372091548e+34,0
4U 1543-47,BH,5.0,("gauss", 5, 2.0),59727.0882,HS,1.8072125839525171e+28,1.261752453161068e+27,0,8.106372653785953e+34,9.650886432695505e+33,9.811810651244576e+33,0
4U 1543-47,BH,5.0,("gauss", 5, 2.0),59769.8216,HS,7.810834049286303e+27,7.921536379795624e+26,0,1.3041987000186996e+34,2.2525552842200262e+33,2.495465940546956e+33,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),58957.114,SS,6.076369429518315e+28,8.652753860622905e+27,0,3.2090826049643596e+38,3.2261277852092587e+37,3.2270495306204086e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),58964.171,SS,1.215273885903663e+29,4.050912953012209e+28,1,3.0983154539054323e+38,3.1131759210682565e+37,3.1139263462290563e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),58970.991,SS,6.076369429518315e+28,2.0254564765061046e+28,1,2.386240911383755e+38,2.4043818447524045e+37,2.4053846556832584e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),58978.144,SS,9.114554144277474e+28,3.0381847147591577e+28,1,1.996973494805238e+38,2.0170724028531022e+37,2.0184773036178555e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),58986.144,SS,1.215273885903663e+29,4.050912953012209e+28,1,1.7263851686470004e+38,1.7956354488313901e+37,1.805845027854926e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),59496.616,SS,5.225677709385751e+29,2.8022393482976984e+28,0,4.319918891298177e+38,4.33281471315082e+37,4.333506894506365e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),59504.48,SS,3.848367305361599e+29,2.0877927481815114e+28,0,2.465360304997275e+38,2.4784399732061033e+37,2.4790641346566907e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),59510.49,SS,4.4154951187833084e+29,2.351711103880553e+28,0,1.7912630714100865e+38,1.8010015815240626e+37,1.8015682663418385e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),60014.022,SS,9.114554144277474e+28,3.0381847147591577e+28,1,4.247129049173739e+38,4.250572356706954e+37,4.2506556378814687e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),60015.229,SS,5.2661868389158734e+28,8.51896495867433e+27,0,4.9702803068013095e+38,4.978745638712535e+37,4.978847402670862e+37,0
4U 1630-47,candidateBH,11.5,("gauss", 11.5, 1.0),60043.194,SS,9.114554144277474e+28,3.0381847147591577e+28,1,3.547713609630224e+38,3.556479066285724e+37,3.5569174075962794e+37,0
Aquila X-1,NS,6.0,("gauss", 6.0, 2.0),59083.92535,HS,1.075138333842938e+28,1.530997658514752e+27,0,8.02907794183989e+36,8.054998638224624e+35,8.055554020893908e+35,0
