name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
SAX J1808.4-3658,58711.91819,0.7356180000060704,0.36465,0.027635735565567997,False,3.6741e-10,3.8341446568954595e-11,3.8487381373639856e-11,False,HS,NS,2.7,"(""uniform"", 2.4, 3.6)",4.0720717656219393e+27,3.0861017007745373e+26,3.2053850597472676e+35,3.345012384018541e+34,3.3577441344508986e+34
SAX J1808.4-3658,59818.664069,0.4981530000004568,0.37,0.0319100297712177,False,2.458542428893783e-10,1.791014300957315e-11,1.7937688624215782e-11,False,HS,NS,2.7,"(""uniform"", 2.4, 3.6)",4.1318155855755305e+27,3.563415090402608e+26,2.1448994775131026e+35,1.5625297302964736e+34,1.5649328848550606e+34
SAX J1808.4-3658,59825.647711,0.3847189999942202,0.0505,0.016833333333333336,True,1.5816e-11,2.135105395525008e-12,2.184951901072424e-12,False,HS,NS,2.7,"(""uniform"", 2.4, 3.6)",5.6393699208530894e+26,1.8797899736176968e+26,1.379830981872099e+34,1.8627241870938847e+33,1.906211638214512e+33
