name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
MAXI J1348-630,58512.029,0.41537999999854947,13.7,0.6867503185292309,False,3.3920445467236246e-08,2.412111044311987e-09,2.4122308663498513e-09,False,HS,rise,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",1.0155309492942673e+29,5.090629218278323e+27,1.9643739841370237e+37,1.396882652049121e+36,1.396952042439095e+36
MAXI J1348-630,58515.161,0.6242500000007567,28.57,1.4335313913549297,False,6.253e-08,6.255153785811139e-09,6.25641498680119e-09,False,HS,rise,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",2.1177897241851982e+29,1.0626244486903674e+28,3.621187856944031e+37,3.622435140332125e+36,3.623165517064948e+36
MAXI J1348-630,58523.219,0.23505999999906635,485.6,24.332661177931197,False,2.5142019174383396e-07,1.784002464746634e-08,1.784002464746634e-08,False,SS,rise,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",3.5995753939948624e+30,1.8036912777284837e+29,1.4560047102723676e+38,1.0331373839914815e+37,1.0331373839914815e+37
MAXI J1348-630,58530.114,0.17723000000114553,16.03,0.8154153849419327,False,2.217e-07,2.218632934133928e-08,2.218632934133928e-08,False,SS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",1.1882453370209566e+29,6.044376349921396e+27,1.2838914887006104e+38,1.284837140588819e+37,1.284837140588819e+37
MAXI J1348-630,58551.1,0.5353299999987939,0.12,0.04,True,1.501e-07,1.501996777779774e-08,1.501996777779774e-08,False,SS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",8.895161599657815e+26,2.965053866552605e+26,8.692472370498945e+37,8.698244831065376e+36,8.698244831065376e+36
MAXI J1348-630,58560.075,0.814909999993688,0.12,0.04,True,8.733999999999999e-08,8.73950083505395e-09,8.73950083505395e-09,False,SS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",8.895161599657815e+26,2.965053866552605e+26,5.057964935638759e+37,5.061150535686803e+36,5.061150535686803e+36
MAXI J1348-630,58567.074,0.9538899999970454,0.12,0.04,True,6.291e-08,6.295239741603536e-09,6.295239741603536e-09,False,SS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",8.895161599657815e+26,2.965053866552605e+26,3.643194116109851e+37,3.645649401702575e+36,3.645649401702575e+36
MAXI J1348-630,58574.061,0.32516999999643303,8.085,0.4099293384230995,False,5.691e-08,5.695206240986641e-09,5.695206240986641e-09,False,IMS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",5.993115127769454e+28,3.038656424761906e+27,3.2957268661232177e+37,3.2981627511039e+36,3.2981627511039e+36
MAXI J1348-630,58588.053,0.676950000000943,0.135,0.045000000000000005,True,4.434999999999999e-08,4.43826513242448e-09,4.43826513242448e-09,False,SS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",1.0007056799615042e+27,3.335685599871681e+26,2.5683620894845313e+37,2.5702529671251587e+36,2.5702529671251587e+36
MAXI J1348-630,58621.888,0.48659999999654246,0.268,0.04408582538639829,False,5.9e-11,6.381436497722613e-12,6.023967375709846e-12,False,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",1.9865860905902452e+27,3.2679211755525805e+26,3.4167612915352288e+34,3.695566984713349e+33,3.488552296745162e+33
MAXI J1348-630,58628.019,0.5708599999998114,0.133,0.040549013551503324,False,5.9e-11,1.9666666666666667e-11,1.9666666666666667e-11,True,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",9.858804106287412e+26,3.0057502353944726e+26,3.4167612915352288e+34,1.1389204305117428e+34,1.1389204305117428e+34
MAXI J1348-630,58650.881,0.046070000003965106,6.257,0.3258160869263518,False,9.93e-09,9.971779074256725e-10,9.971779074256725e-10,False,HS,rise,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",4.638085510754912e+28,2.4151556208150475e+27,5.750582987278783e+36,5.774777754010402e+35,5.774777754010402e+35
MAXI J1348-630,58699.713,0.12748999999894295,0.44,0.047413078364518794,False,9.8e-11,1.0260538163157111e-11,1.0456751239871256e-11,False,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",3.2615592532078653e+27,3.514558283246953e+26,5.675298416448345e+34,5.942001631558507e+33,6.055630995187308e+33
MAXI J1348-630,58705.765,0.6517099999982747,0.139,0.03961442287854261,False,7.1e-12,8.277544385824993e-13,1.0179616199552718e-12,False,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",1.0303562186270302e+27,2.9364724431818182e+26,4.111695791508495e+33,4.793625973974845e+32,5.895138744629946e+32
MAXI J1348-630,58726.741,0.3171699999948032,0.12,0.04,True,2e-13,6.666666666666668e-14,6.666666666666668e-14,True,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",8.895161599657815e+26,2.965053866552605e+26,1.1582241666221114e+32,3.8607472220737053e+31,3.8607472220737053e+31
MAXI J1348-630,58775.61615,0.5615800000014133,0.15,0.049999999999999996,True,8e-13,2.5598304190837014e-13,3.7341192391980514e-13,False,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",1.1118951999572268e+27,3.706317333190756e+26,4.6328966664884456e+32,1.482428726918575e+32,2.1624735719438777e+32
MAXI J1348-630,58782.59722,0.5735600000043632,0.15,0.049999999999999996,True,1.3e-12,4.3333333333333337e-13,4.3333333333333337e-13,True,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",1.1118951999572268e+27,3.706317333190756e+26,7.528457083043724e+32,2.509485694347908e+32,2.509485694347908e+32
MAXI J1348-630,58788.66968,0.9871199999979581,0.18,0.06,True,6e-13,1.9999999999999996e-13,1.9999999999999996e-13,True,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",1.334274239948672e+27,4.447580799828907e+26,3.474672499866334e+32,1.158224166622111e+32,1.158224166622111e+32
MAXI J1348-630,58824.39566,0.3374900000053458,0.164,0.030137020423392887,False,6.1e-12,9.983147267660616e-13,1.2000363231014984e-12,False,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",1.215672085286568e+27,2.2339472233188976e+26,3.5325837081974395e+33,5.7813612121760114e+32,6.949555351202479e+32
MAXI J1348-630,58832.38681,0.7277700000049663,0.12,0.04,True,2e-13,7.564032388230244e-14,1.1123525449826656e-13,False,HS,decay,candidateBH,2.2,"(""gauss"", 2.2, 0.6)",8.895161599657815e+26,2.965053866552605e+26,1.1582241666221114e+32,4.380422554580317e+31,6.441767997012662e+31
