name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
1A 1744-361,59730.97968,0.7652200000011362,1.24,0.0648459713474939,False,2.8000000000000003e-09,2.8119072264212416e-10,2.8119901066682297e-10,False,IMS,rise,NS,8.0,"(""uniform"", 1, 9)",1.2154270395124722e+29,6.356092498322186e+27,2.1441505233334946e+37,2.1532686968201212e+36,2.1533321638647477e+36
1A 1744-361,59759.97549,0.20988999999826774,0.087,0.01851816675591836,False,2.987e-09,3.8373754051434686e-10,3.6838166349589117e-10,False,SS,decay,NS,8.0,"(""uniform"", 1, 9)",8.527592938514926e+27,1.815119403011624e+27,2.28734914757041e+37,2.9385394582733745e+36,2.8209490591827796e+36
1A 1744-361,59797.93867,0.138729999998759,0.081,0.027,True,1.798e-09,1.8687403484700597e-10,1.871851585997138e-10,False,SS,decay,NS,8.0,"(""uniform"", 1, 9)",7.939483080686311e+27,2.6464943602287703e+27,1.3768509431977226e+37,1.4310216414808912e+36,1.4334041277565695e+36
1A 1744-361,59804.66341,0.717689999997674,0.093,0.031,True,8.195e-10,8.308396295314762e-11,8.305776845063925e-11,False,HS,decay,NS,8.0,"(""uniform"", 1, 9)",9.115702796343542e+27,3.0385675987811806e+27,6.27546912097071e+36,6.3623043802361475e+35,6.360298488941084e+35
1A 1744-361,59811.75657,0.5475300000034622,0.051,0.016999999999999998,True,1.2121511128474004e-10,1.0707889344628915e-11,1.080666971995485e-11,False,HS,decay,NS,8.0,"(""uniform"", 1, 9)",4.998933791543233e+27,1.6663112638477442e+27,9.282265867753683e+35,8.199759479315441e+34,8.275402334119077e+34
1A 1744-361,60539.72062,0.401319999997213,0.088,0.029333333333333333,True,1.067e-10,1.3267333002529182e-11,1.2157898009113254e-11,False,HS,,NS,8.0,"(""uniform"", 1, 9)",8.62561124815303e+27,2.8752037493843434e+27,8.17074502998871e+35,1.015969964307596e+35,9.310129778169798e+34
1A 1744-361,60546.63713,0.3068300000013551,0.057,0.019,True,4.963e-12,8.758793181711737e-13,9.769523734553286e-13,False,HS,,NS,8.0,"(""uniform"", 1, 9)",5.587043649371849e+27,1.8623478831239493e+27,3.8005068026086186e+34,6.707203922977523e+33,7.481189081486223e+33
