name,class,D,t,state,Lr,Lr_unc,Lr_uplim_bool,Lx,Lx_unc_l,Lx_unc_u,Lx_uplim_bool
GX 339-4,BH,10.0,58418.49754,QS,1.1888562918344902e+28,3.9628543061149677e+27,1,5.707632748326756e+33,1.5980312278853307e+33,1.8406480610542758e+33,0
GX 339-4,BH,10.0,58509.36449,HS,6.372429034958742e+29,3.285766224632869e+28,0,8.051478842723961e+36,5.986078116302845e+35,5.821557160593847e+35,0
GX 339-4,BH,10.0,58515.18948,HS,6.464339069116801e+29,3.3382470773247566e+28,0,6.876954144228853e+36,5.1935888654686716e+35,5.047027753389941e+35,0
GX 339-4,BH,10.0,58523.24712,HS,6.127335610537252e+29,3.2171724998830516e+28,0,6.894440485095282e+36,3.7491797223373404e+35,3.674383325305771e+35,0
GX 339-4,BH,10.0,58537.11945,HS,5.23887194700935e+29,2.7520627085446993e+28,0,6.526696635529025e+36,4.191206419345254e+35,4.1524681948870974e+35,0
GX 339-4,BH,10.0,58543.10406,HS,4.641456724981967e+29,2.443371592737154e+28,0,5.297414931563667e+36,3.555116079690678e+35,3.526504455550466e+35,0
GX 339-4,BH,10.0,58551.05809,HS,4.610820046929281e+29,2.453483900183817e+28,0,4.750112520098495e+36,2.7049496750749477e+35,2.6501331510342566e+35,0
GX 339-4,BH,10.0,58560.10035,HS,4.3657266225077924e+29,2.4082070840081386e+28,0,4.336886221161334e+36,2.447796078231902e+35,2.399691517362763e+35,0
GX 339-4,BH,10.0,58567.10024,HS,3.76831140048041e+29,2.0837789441767288e+28,0,3.992810500868227e+36,2.598475643394184e+35,2.5952668667405145e+35,0
GX 339-4,BH,10.0,58574.08638,HS,3.3393979077428025e+29,1.9487648706030093e+28,0,3.2776649823271505e+36,2.1814397660664606e+35,2.1594944900226098e+35,0
GX 339-4,BH,10.0,58582.07977,HS,3.0177127881895963e+29,1.8581902931948977e+28,0,2.8989761624726415e+36,2.5541005725100256e+35,2.5947562694927605e+35,0
GX 339-4,BH,10.0,58588.07977,HS,2.4968892612939305e+29,1.5095684899457778e+28,0,1.9882827053723744e+36,2.0135852168820225e+35,1.9906902704045908e+35,0
